,ASIN,Average Battery Life (in hours),Brand,Card Description,Chipset Brand,Color,Computer Memory Type,Customer Reviews,Flash Memory Size,Graphics Coprocessor,Hardware Platform,Item Dimensions  LxWxH,Item Weight,Item model number,Max Screen Resolution,Operating System,Optical Drive Type,Power Source,Price,Processor,Processor Brand,Processor Count,Product Dimensions,RAM,Ratings,Reviews,Reviews Link,Screen Resolution,Series,Standing screen display size,Wireless Type,Batteries,Hard Drive,Hard Drive Interface,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Hard Drive Rotational Speed,Memory Speed,Voltage,Graphics Card Ram Size,Best Sellers Rank,Package Dimensions
0,B09KMFJQX6,12 Hours,Acer,UHD Graphics,Intel,Shale Black,DDR4 SDRAM,"October 28, 2021",64000 MB,Intel UHD Graphics,Chrome OS,8.1 x 11.7 x 0.83 inches,2.89 pounds,R753T-C1PT,1366 x 768 Pixels,Chrome OS,No,Battery Powered,,1.1 GHz celeron,Intel,1,8.1 x 11.7 x 0.83 inches,8 GB LPDDR4X,1 rating,1.0 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,1366 x 768 pixels,Chromebook Spin 511 R753T,11.6 Inches,Bluetooth,,,,,,,,,,,
1,B09RNC69K8,,Lenovo,Integrated,Intel,Arctic Grey,DDR4 SDRAM,"February 1, 2022",,Intel Iris,,14.14 x 9.31 x 0.78 inches,5.49 pounds,82RK0017US,1920 x 1080,Windows 11 Pro,,Battery Powered,,1.3 core_i5,Intel,1,14.14 x 9.31 x 0.78 inches,8 GB DDR4,59 ratings,4.5 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,2022,15.6,802.11ax,1 Lithium Polymer batteries required. (included),SSD,USB 3.2,1,1,,,,,,
2,B0B3L3YB4N,,Acer,Integrated,Intel,Dale Silver,DDR4 SDRAM,"June 8, 2022",4 GB,Intel,PC,14 x 10 x 1 inches,5.44 pounds,Acer 15inch Chromebook,1366 x 768 Pixels,Chrome OS,No Optical Drive,,,2 GHz celeron,Intel,2,14 x 10 x 1 inches,4 GB DDR4,251 ratings,4.4 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,Acer 15inch Chromebook,15.6 Inches,Bluetooth,1 Lithium Ion batteries required. (included),32 GB SSD,Solid State,,4,7200,,,,,
3,B09HVC79PC,10 Hours,Acer,Integrated,AMD,Silver,DDR4 SDRAM,"December 9, 2021",128 GB,AMD Radeon Vega 6,Windows,14.31 x 9.86 x 0.71 inches,4 pounds,NX.ABRAA.007,1920 x 1080,Windows,No Optical Drive,Battery Powered,,3.5 GHz ryzen_3,AMD,4,14.31 x 9.86 x 0.71 inches,4 GB DDR4,"38,037 ratings",4.6 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,A515-46-R3UB,15.6 Inches,Bluetooth,1 Lithium Ion batteries required. (included),128 GB SSD,USB 3.2,1,3,,3.5 GHz,240 Volts,,,
4,B08D92T45H,,ASUS,Integrated,Intel,Black,DDR4 SDRAM,"July 20, 2020",64 GB,Intel UHD Graphics 600,PC,12.8 x 8.5 x 0.72 inches,2.87 pounds,L410MA-DB02,1920 x 1080 Pixels,Windows 10 S,No Optical Drive,Battery Powered,,2.8 GHz celeron_n4020,Intel,2,12.8 x 8.5 x 0.72 inches,4 GB DDR4,552 ratings,4.4 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,1920 x 1080 pixels,ASUS Laptop L410MA,14 Inches,"Bluetooth, 802.11ac",1 Lithium Ion batteries required. (included),64 GB Embedded MultiMediaCard,USB,1,2,,2.8 GHz,19 Volts,4 GB,,
5,B08B6F1NNR,7 Hours,Lenovo,Integrated,Intel,Blue,DDR4 SDRAM,"June 15, 2020",256 GB,Intel UHD Graphics,PC,16.3 x 11.2 x 1 inches,4.07 pounds,Ideapad,1366 x 768 Pixels,Windows 11,No dvd,Battery Powered,,3 GHz core_i3,Intel,2,16.3 x 11.2 x 1 inches,8 GB DDR4,804 ratings,4.4 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,Ideapad,15.6 Inches,Bluetooth,1 Lithium Ion batteries required.,256 GB SSD,PCIE x 4,,,,3.4 GHz,,,,
6,B09J8V32X4,,SAMSUNG,Dedicated,Intel,Mystic Black,,"November 11, 2021",1 TB,NVIDIA GeForce RTX 3050 Ti,,14.04 x 9.02 x 0.7 inches,4.08 pounds,NP762XDA-XA3US,1920 x 1080 Pixels,Windows 11 Home,No Optical Drive,Battery Powered,,2.9 GHz apple_ci7,Intel,1,14.04 x 9.02 x 0.7 inches,32 GB DDR4,20 ratings,4.1 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,Galaxy Book Odyssey,15.6 Inches,"Bluetooth, 802.11ax",1 Lithium Ion batteries required. (included),1 TB SSD,Solid State,,,,,,,,
7,B09YRY6QCX,,ASUS,Integrated,Intel,Black,SDRAM,"April 25, 2022",64 GB,,,12.81 x 8.56 x 0.74 inches,1 pounds,E410MA-212.BNCR-11,1366 x 768 Pixels,Windows 10,No Optical Drive,"Corded Electric, Battery Powered",,9 GHz celeron,Intel,2,12.81 x 8.56 x 0.74 inches,4 GB SDRAM,48 ratings,4.0 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,Asus,14 Inches,,,64 GB Emmc,USB,,1,,2.8 GHz,,,,
8,B08NTP5RTN,10 Hours,Acer,Integrated,Intel,Silver,DDR4 SDRAM,"November 18, 2020",64 GB,Intel,PC,11.65 x 8.11 x 0.79 inches,2.62 pounds,NX.HKKAA.006,1366 x 768 Pixels,Chrome OS,No Optical Drive,Battery Powered,,2.6 GHz celeron_n4000,Intel,2,11.65 x 8.11 x 0.79 inches,4 GB LPDDR4,"10,527 ratings",4.6 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,CP311-2H-C7QD,11.6 Inches,"Bluetooth, 801.11ac",1 Lithium Ion batteries required. (included),64 GB SSD,Solid State,,4,,2.6 GHz,,,,
9,B0B9YRLB3D,,Lenovo,Integrated,Intel,Silver,DDR4 SDRAM,,,Intel Iris Xe Graphics,PC,14.37 x 9.45 x 0.74 inches,6 pounds,15,1920 x 1080 Pixels,Windows 11 Pro,,AC & Battery,,1.2 GHz core_i7_family,Intel,10,14.37 x 9.45 x 0.74 inches,16 GB DDR4,,Previous page of related Sponsored Products,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,ThinkBook,15.6 Inches,,,512 GB SSD,PCIE x 4,,4,,,,,"August 17, 2022",
10,B09VZR2BGN,,HP,Integrated,Intel,Dale Blue,DDR4 SDRAM,"March 19, 2022",,Intel,PC,12.9 x 8.9 x 0.9 inches,4.51 pounds,"HP 14"" Laptop",1366 x 768 Pixels,Windows 11,No Optical Sotrage Device,,,2.6 GHz celeron,Intel,2,12.9 x 8.9 x 0.9 inches,4 GB DDR4,468 ratings,4.1 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,HP 14inch Laptop,14 Inches,"Bluetooth, 802.11a",1 Lithium Ion batteries required. (included),64 GB SSD,Solid State,,3,,2.6 GHz,,,,
11,B09R8YJB9W,,SAMSUNG,Integrated,Intel,Graphite,,"April 1, 2022",256 GB,,PC,11.98 x 7.87 x 0.44 inches,1.92 pounds,NP930XED-KA2US,1920 x 1080 Pixels,Windows 11 Home,,Battery Powered,,1.7 GHz apple_ci5,Intel,1,11.98 x 7.87 x 0.44 inches,8 GB Lpddr 5,167 ratings,4.3 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,"Galaxy Book2 Pro 13.3"" i5/8G/256G Graphite",13.3 Inches,Bluetooth,1 Lithium Ion batteries required. (included),SSD,,,,,,,,,
12,B0B9KDJJSS,,HP,Integrated,Intel,Dale Red,,"August 13, 2022",,Intel UHD Graphics,,15 x 10 x 1 inches,5.19 pounds,"HP 15"" Laptop",1366 x 768 Pixels,Windows 11,,,,2 GHz pentium,Intel,2,15 x 10 x 1 inches,DDR4,10 ratings,2.7 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,"HP 15"" Laptop",15,,1 Lithium Ion batteries required.,500 GB HDD,,,3,5400,,,,,
13,B0B512DM4H,,HP,Integrated,AMD,Gold,DDR4 SDRAM,"June 24, 2022",16 GB,AMD,PC,,3.75 pounds,15-ef1072 For Student Business,1366 x 768 Pixels,Windows 11 Home,,,,2.3 GHz athlon_silver_3050U,AMD,2,,16 GB DDR4,36 ratings,4.2 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,,15.6 Inches,Bluetooth,1 Lithium Ion batteries required. (included),1000 GB SSD,Solid State,,,7200.00,,,,,19.09 x 12.13 x 4.21 inches
14,B09RNC69K8,,Lenovo,Integrated,Intel,Arctic Grey,DDR4 SDRAM,"February 1, 2022",,Intel Iris,,14.14 x 9.31 x 0.78 inches,5.49 pounds,82RK0017US,1920 x 1080,Windows 11 Pro,,Battery Powered,,1.3 core_i5,Intel,1,14.14 x 9.31 x 0.78 inches,8 GB DDR4,59 ratings,4.5 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,2022,15.6,802.11ax,1 Lithium Polymer batteries required. (included),SSD,USB 3.2,1,1,,,,,,
15,B07MBR4F43,10 Hours,Dell,Integrated,Intel,Black,DIMM,"January 4, 2019",256 GB,Intel,PC,13.1 x 9 x 0.88 inches,3.52 pounds,Latitude 14-5480SA9104,1366x768,Windows 10 Pro,,AC & Battery,,2.4 GHz core_i5,Intel,2,13.1 x 9 x 0.88 inches,8 GB DDR4,245 ratings,4.3 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,1366 x 768,Latitude 14-5480,14 Inches,"Bluetooth, 802.11ac",1 Lithium Ion batteries required. (included),256 GB SSD,Solid State,,,,2400 MHz,,,,
16,B0B6NZL6YY,,HP,Integrated,AMD,,DDR4 SDRAM,"July 15, 2022",,AMD,PC,,3.75 pounds,14-fq0110wm,1920 x 1080 Pixels,Windows 11,,,,2.6 GHz ryzen_3,AMD,2,,DDR4,7 ratings,4.6 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,,14 Inches,"Bluetooth, 802.11b",1 Lithium Ion batteries required. (included),1000 GB SSD,Solid State,,,7200.00,,,,,17.72 x 12.13 x 2.72 inches
17,B0B6NZL6YY,,HP,Integrated,AMD,,DDR4 SDRAM,"July 15, 2022",,AMD,PC,,3.75 pounds,14-fq0110wm,1920 x 1080 Pixels,Windows 11,,,,2.6 GHz ryzen_3,AMD,2,,DDR4,7 ratings,4.6 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,,14 Inches,"Bluetooth, 802.11b",1 Lithium Ion batteries required. (included),1000 GB SSD,Solid State,,,7200.00,,,,,17.72 x 12.13 x 2.72 inches
18,B09VRX9YVW,,HP,Integrated,Intel,Dale Pink,DDR4 SDRAM,"March 16, 2022",64 GB,Intel,PC,12.9 x 8.9 x 0.9 inches,4.53 pounds,"HP 14"" Laptop",1366 x 768 Pixels,Windows 11,,,,2.6 GHz celeron,Intel,2,12.9 x 8.9 x 0.9 inches,4 GB,552 ratings,4.3 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,HP 14inch Laptop,14 Inches,"Bluetooth, 802.11a",1 Lithium Ion batteries required.,64 GB SSD,Solid State,,,,2.6 GHz,,,,
19,B09SVQY3PF,,ASUS,RTX 3050,NVIDIA,Graphite Black,DDR4 SDRAM,"February 18, 2022",512 GB,NVIDIA GeForce RTX 3050,,15.71 x 10.59 x 0.92 inches,5.73 pounds,FX706HCB-ES51,1920 x 1080 Pixels,Windows 11 Home,No Drive,,,4.5 core_i5,Intel,6,15.71 x 10.59 x 0.92 inches,8 GB DDR4,38 ratings,4.2 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,ASUS TUF Gaming F1,17.3 Inches,Bluetooth,1 Lithium Ion batteries required. (included),512 GB SSD,Solid State,,3,,4.5 GHz,20 Volts,,,
20,B09ZDSZVJS,,Acer,Integrated,Intel,Natural Silver,,"May 3, 2022",,,,15 x 10 x 1 inches,6.09 pounds,"Acer 17.3"" Chromebook",1920 x 1080 Pixels,Chrome OS,No Optical Drive,,,2 GHz celeron,Intel,2,15 x 10 x 1 inches,4 GB DDR4,11 ratings,4.8 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,"Acer 17"" Chromebook",17,"Bluetooth, 802.11a",1 Lithium Ion batteries required. (included),64 GB SSD,USB 3.2,2,2,7200,2.8 GHz,,,,
21,B0B512DM4H,,HP,Integrated,AMD,Gold,DDR4 SDRAM,"June 24, 2022",16 GB,AMD,PC,,3.75 pounds,15-ef1072 For Student Business,1366 x 768 Pixels,Windows 11 Home,,,,2.3 GHz athlon_silver_3050U,AMD,2,,16 GB DDR4,36 ratings,4.2 out of 5 stars,https://www.amazon.com/electronics-store/b/ref=dp_bc_aui_C_1?ie=UTF8&node=172282,,,15.6 Inches,Bluetooth,1 Lithium Ion batteries required. (included),1000 GB SSD,Solid State,,,7200.00,,,,,19.09 x 12.13 x 4.21 inches
